Date,Pool,Action,Token A Symbol,Token A Amount,Token A Price (USD),Token B Symbol,Token B Amount,Token B Price (USD),Total USD Value,Fees Collected (USD),Fees Collected (Token A),Fees Collected (Token B),Auto-Compound Harvested (Token A),Auto-Compound Harvested (Token B),Auto-Compound Redeposited (Token A),Auto-Compound Redeposited (Token B),Auto-Compound Leftover (Token A),Auto-Compound Leftover (Token B),Realized PnL (USD),Cost Basis (USD),Position Address,Pool Address,Transaction
2026-07-27T07:18:42.000Z,SOL/USDC,Open Position,SOL,0.30445679,76.586850,USDC,69.398227,0.999842,92.70,0.00,0,0,,,,,,,0.00,92.70,5YQAVhCGUxPLit8AgivjUr4JA8eFcMTT55wn5GkWWhWc,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5CY1mz94aGNAdoxputuo5wp36TxzD5CVtuU3muct3PCBFgBGPnMaAdjNGigKb9FL7xEWFELv4PiVQRARpXnEAbuS
2026-07-26T17:54:28.000Z,SOL/USDC,Close Position,SOL,0.248484413,75.352005,USDC,112.508974,0.999963,131.23,0.37,0.002325646,0.193097,,,,,,,1.01,0.00,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,2S1QGWGGEK9SL99T9ScYvSPB2WtH93wSsSJ5RhdGiyM4vvLCeu3Dri2LsSfLhi1bh6keApr9iX9now52niny3JgX
2026-07-26T15:56:13.000Z,SOL/USDC,Collect Fees,SOL,0.001046005,75.361666,USDC,0.0905,0.999942,0.17,0.33,0.002067833,0.174063,,,,,,,0.38,130.60,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3bHhphwqVTeG35WNaJZyM1z3MEv8W2FRH3d1mvEidFXiUxshJZp9fgTDhv9EZTNMUmxjBBbQu9n6cu7od9jF41ww
2026-07-26T03:41:14.000Z,SOL/USDC,Decrease Liquidity,SOL,0.064853341,74.917297,USDC,10.138338,0.999921,15.00,0.16,0.001021828,0.083563,,,,,,,0.21,130.60,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,38pU7ervUD9CegeKnY1ctVsyWDnyAkQJWy1Quhn7syTsX5XedaPj8E7T4CvTUshfLqGG744TrHPW7cugVf6kBs1Y
2026-07-26T02:19:19.000Z,SOL/USDC,Collect Fees,SOL,0.000380846,74.716967,USDC,0.034991,0.999909,0.06,0.16,0.001021828,0.083563,,,,,,,0.16,145.55,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5uR4RBqjxyRUQMyKP5FPtqgGMLzKVVQUWPBj6qDpTGCcGMzw6RNJ56N25myXbbA1Vd79kwGtECf2DVWdWLYffc1k
2026-07-25T20:40:40.000Z,SOL/USDC,Increase Liquidity,SOL,0.010481575,74.395852,USDC,0.71346,0.999882,1.49,0.10,0.000640982,0.048572,,,,,,,0.10,145.55,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5hMjy4sJ54hd9rjdFP7eUdFyZzxzP9cdMqMyKBXruyiiVSyamFkVzxRU9NZRbwRd8MS5MhTaP6EeqfaJznm6dW8u
2026-07-25T20:27:59.000Z,SOL/USDC,Collect Fees,SOL,0.000229885,74.414771,USDC,0.018379,0.999870,0.04,0.10,0.000640982,0.048572,,,,,,,0.10,144.05,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,uNSP2WPgo9LYHMBua2yvNc7s9GsGmLC8n4nCjB838cAXnAomLSHQcixY7h8Gka6G8M4hbXyDnKMY8tPLeXhUfR4
2026-07-25T18:18:30.000Z,SOL/USDC,Increase Liquidity,SOL,0.256399103,74.508950,USDC,19.637842,0.999915,38.74,0.06,0.000411097,0.030193,,,,,,,0.06,144.05,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,5P4w6bvKLFbzuKyU5ywHftCzSSJY2SoZ5QveB7HdZx9YfL1mH5v7ryF4wXrgm2sRdoXdPmRAvXA9JTwZcGuEEc7Z
2026-07-25T18:04:31.000Z,SOL/USDC,Increase Liquidity,SOL,0.137464458,74.516608,USDC,11.616845,0.999916,21.86,0.06,0.000411097,0.030193,,,,,,,0.06,105.31,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4HSmQZpmovzeQamNLwEozxtVkMYerconx4icudytwCXg1fhizBGVaSJhQchfCpm9spteuFJQShApq3PSjRC3Thdt
2026-07-25T17:04:48.000Z,SOL/USDC,Increase Liquidity,SOL,0.113189007,74.279588,USDC,6.485876,0.999955,14.89,0.06,0.000411097,0.030193,,,,,,,0.06,83.45,EXu5fvAwQ74cHV6SwVVh6rvQs1EG3cQofwM3BKf92muV,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4PyGJNpte2ZhtNZDuwMHf4NNsP3f7atxMoE5AgSA7rDQu6MozqvqgWmfGoAWoq1WqFjX7KEevFnMFZY2wHpm4mhw
